id,winners,losers
NA1_5370838341,"Sett_Top,Briar_Jungle,Syndra_Mid,Sivir_ADC,Leona_Support","Yone_Top,XinZhao_Jungle,Fizz_Mid,Caitlyn_ADC,Karma_Support"
NA1_5354993489,"Singed_Top,Shaco_Jungle,Katarina_Mid,Aphelios_ADC,Seraphine_Support","Fiora_Top,Naafiri_Jungle,Ekko_Mid,Ezreal_ADC,Zilean_Support"
NA1_5356106527,"Urgot_Top,Viego_Jungle,Viktor_Mid,Aphelios_ADC,Rell_Support","Jax_Top,LeeSin_Jungle,Azir_Mid,Mel_ADC,Nami_Support"
NA1_5375140669,"Garen_Top,Viego_Jungle,Lissandra_Mid,Kaisa_ADC,Bard_Support","Yone_Top,Diana_Jungle,Karma_Mid,Irelia_ADC,Milio_Support"
NA1_5353056992,"Darius_Top,Hecarim_Jungle,Fizz_Mid,Samira_ADC,Nautilus_Support","Aatrox_Top,Qiyana_Jungle,Galio_Mid,Smolder_ADC,Braum_Support"
NA1_5378360420,"Gnar_Top,Shaco_Jungle,Akali_Mid,Kaisa_ADC,Alistar_Support","Urgot_Top,Shyvana_Jungle,Zed_Mid,Lux_ADC,Rakan_Support"
NA1_5352972981,"MonkeyKing_Top,Viego_Jungle,Xerath_Mid,Smolder_ADC,Nautilus_Support","Riven_Top,Nidalee_Jungle,AurelionSol_Mid,Lucian_ADC,Neeko_Support"
NA1_5380227567,"Warwick_Top,Volibear_Jungle,Malzahar_Mid,Ashe_ADC,Soraka_Support","Sylas_Top,Diana_Jungle,Zed_Mid,Lucian_ADC,Milio_Support"
NA1_5363796018,"Fiora_Top,Sylas_Jungle,AurelionSol_Mid,Ashe_ADC,Karma_Support","Yasuo_Top,Kayn_Jungle,Viktor_Mid,Twitch_ADC,Leona_Support"
NA1_5347861082,"Vladimir_Top,Ekko_Jungle,Talon_Mid,MissFortune_ADC,Bard_Support","Urgot_Top,Kayn_Jungle,TwistedFate_Mid,Yunara_ADC,Lulu_Support"
NA1_5374000940,"Swain_Top,DrMundo_Jungle,Velkoz_Mid,Caitlyn_ADC,Lux_Support","Illaoi_Top,Diana_Jungle,Yasuo_Mid,Yunara_ADC,Pyke_Support"
NA1_5362640364,"RekSai_Top,Nunu_Jungle,Anivia_Mid,Sivir_ADC,Leona_Support","Riven_Top,Zyra_Jungle,Yasuo_Mid,Mel_ADC,Maokai_Support"
NA1_5380300090,"Gragas_Top,XinZhao_Jungle,Galio_Mid,Zeri_ADC,Braum_Support","Zoe_Top,MasterYi_Jungle,Varus_Mid,Kaisa_ADC,Leona_Support"
NA1_5379223279,"DrMundo_Top,Khazix_Jungle,Sylas_Mid,Ziggs_ADC,Nautilus_Support","Aatrox_Top,Evelynn_Jungle,Yasuo_Mid,Varus_ADC,Sona_Support"
NA1_5353164969,"Ornn_Top,Nasus_Jungle,Kassadin_Mid,Aphelios_ADC,Morgana_Support","Rumble_Top,Ivern_Jungle,Yone_Mid,Jhin_ADC,Brand_Support"
NA1_5372912960,"Chogath_Top,Ezreal_Jungle,Qiyana_Mid,Mel_ADC,Rakan_Support","Rumble_Top,Bard_Jungle,Nami_Mid,Veigar_ADC,Kayle_Support"
NA1_5373648394,"Poppy_Top,Kayn_Jungle,Malzahar_Mid,Caitlyn_ADC,Bard_Support","Sion_Top,LeeSin_Jungle,Mel_Mid,Sivir_ADC,Seraphine_Support"
NA1_5377935214,"Taliyah_Top,KSante_Jungle,Mel_Mid,LeeSin_ADC,Morgana_Support","Seraphine_Top,Tristana_Jungle,Pantheon_Mid,Kalista_ADC,Twitch_Support"
NA1_5376376289,"Sion_Top,Graves_Jungle,Diana_Mid,Smolder_ADC,Nami_Support","Gnar_Top,Talon_Jungle,Aurora_Mid,Kalista_ADC,Lulu_Support"
NA1_5363062690,"Mordekaiser_Top,Graves_Jungle,Morgana_Mid,Xayah_ADC,Rakan_Support","Tryndamere_Top,Amumu_Jungle,Diana_Mid,Kaisa_ADC,Zilean_Support"
NA1_5355950493,"Aatrox_Top,Gragas_Jungle,Garen_Mid,Kalista_ADC,Karma_Support","Yasuo_Top,Nunu_Jungle,Sylas_Mid,Corki_ADC,Nautilus_Support"
NA1_5372087994,"Sett_Top,RekSai_Jungle,Akali_Mid,Lucian_ADC,Lux_Support","Ornn_Top,Vi_Jungle,Swain_Mid,Gwen_ADC,Taric_Support"
NA1_5356928521,"Singed_Top,XinZhao_Jungle,Syndra_Mid,Kindred_ADC,Sona_Support","Sion_Top,Khazix_Jungle,Akali_Mid,Yunara_ADC,Lulu_Support"
NA1_5379252510,"Yone_Top,Naafiri_Jungle,Sett_Mid,Kaisa_ADC,Blitzcrank_Support","Aatrox_Top,Shaco_Jungle,Sylas_Mid,Ziggs_ADC,Yuumi_Support"
NA1_5365256052,"Sion_Top,Ekko_Jungle,Qiyana_Mid,Lucian_ADC,Nami_Support","Aurora_Top,Hecarim_Jungle,Jayce_Mid,Yunara_ADC,Bard_Support"
NA1_5362354149,"Fiora_Top,Khazix_Jungle,Veigar_Mid,Aphelios_ADC,Seraphine_Support","Aatrox_Top,LeeSin_Jungle,Diana_Mid,Kaisa_ADC,Pyke_Support"
NA1_5378037791,"KSante_Top,Pantheon_Jungle,Swain_Mid,Lucian_ADC,Braum_Support","Gwen_Top,Viego_Jungle,Yone_Mid,Draven_ADC,Leona_Support"
NA1_5379339218,"Shaco_Top,Kaisa_Jungle,Zyra_Mid,Ashe_ADC,Thresh_Support","Gragas_Top,Morgana_Jungle,Velkoz_Mid,Tristana_ADC,TwistedFate_Support"
NA1_5379798496,"Volibear_Top,Rengar_Jungle,Mel_Mid,Aphelios_ADC,Lulu_Support","Jax_Top,Kayn_Jungle,Aurora_Mid,Varus_ADC,Leona_Support"
NA1_5366325523,"DrMundo_Top,Ekko_Jungle,Galio_Mid,Tristana_ADC,Amumu_Support","Chogath_Top,Elise_Jungle,Zoe_Mid,Corki_ADC,Ezreal_Support"
NA1_5378424416,"Kayle_Top,DrMundo_Jungle,Tristana_Mid,Kaisa_ADC,Leona_Support","Urgot_Top,Evelynn_Jungle,Akshan_Mid,Aphelios_ADC,Morgana_Support"
NA1_5378880863,"Tryndamere_Top,Graves_Jungle,Akali_Mid,Xerath_ADC,TahmKench_Support","Aatrox_Top,Talon_Jungle,Aurora_Mid,Lucian_ADC,Braum_Support"
NA1_5378859677,"Riven_Top,Udyr_Jungle,Yone_Mid,MissFortune_ADC,Taric_Support","Aatrox_Top,Zyra_Jungle,Leblanc_Mid,Kaisa_ADC,Leona_Support"
