id,winners,losers
NA1_5379798496,"Volibear,Rengar,Mel,Aphelios,Lulu","Jax,Kayn,Aurora,Varus,Leona"
NA1_5366325523,"DrMundo,Ekko,Galio,Tristana,Amumu","Chogath,Elise,Zoe,Corki,Ezreal"
NA1_5378424416,"Kayle,DrMundo,Tristana,Kaisa,Leona","Urgot,Evelynn,Akshan,Aphelios,Morgana"
NA1_5378880863,"Tryndamere,Graves,Akali,Xerath,TahmKench","Aatrox,Talon,Aurora,Lucian,Braum"
NA1_5320671097,"Kayn,Ivern,Diana,Fizz,Malphite,Ashe,Illaoi,Twitch","Karthus,Taliyah,Ashe,Kled,Shaco,MissFortune,KogMaw,Chogath"
NA1_5378859677,"Riven,Udyr,Yone,MissFortune,Taric","Aatrox,Zyra,Leblanc,Kaisa,Leona"
NA1_5361728250,"Illaoi,Volibear,Ryze,Samira,Pyke","Darius,Qiyana,Kassadin,MissFortune,Alistar"
NA1_5363662380,"Riven,Qiyana,Vladimir,Twitch,Braum","Malphite,Belveth,Syndra,Aphelios,Lulu"
NA1_5378467449,"DrMundo,Khazix,Sylas,Caitlyn,Braum","Nasus,Diana,Ahri,Jinx,Soraka"
NA1_5363930516,"Ornn,MonkeyKing,Ryze,Lucian,Thresh","DrMundo,Shaco,Anivia,MissFortune,Nami"
NA1_5359384788,"Kennen,Aatrox,Qiyana,Lucian,Swain","Ornn,Zyra,Akshan,Sivir,Yuumi"
NA1_5378698885,"Irelia,RekSai,Veigar,Syndra,Nami","Illaoi,Morgana,Viktor,Vayne,Alistar"
NA1_5297799446,"Warwick,Ekko,Talon,Senna,Nautilus","KSante,Viego,Ryze,Jinx,Milio"
NA1_5371783170,"Gragas,Briar,Talon,Caitlyn,Lux","Sett,Viego,Yone,KogMaw,Pantheon"
NA1_5346849963,"Vladimir,JarvanIV,Ekko,Aphelios,Thresh","Aatrox,Gwen,Fizz,Twitch,Braum"
NA1_5376669361,"Yasuo,Diana,Mel,MasterYi,Lulu","Malphite,Kayn,Morgana,Kaisa,Blitzcrank"
NA1_5378441170,"Urgot,Diana,Yone,Kaisa,Janna","Ornn,Sylas,Akshan,Swain,Nami"
NA1_5371722880,"Darius,Talon,Leblanc,Ziggs,Veigar","Shen,Morgana,Aurora,Ashe,Milio"
NA1_5357247692,"Katarina,Nasus,Sona,Ziggs,Karma","Corki,Senna,MonkeyKing,Viktor,TwistedFate"
NA1_5375235105,"Singed,Volibear,Ryze,Tristana,Karma","Ambessa,Nunu,Yasuo,Caitlyn,Malphite"
NA1_5379240932,"Singed,Gangplank,Lulu,Nocturne,Zeri,Yasuo,Kalista,Janna","Braum,Sion,Udyr,Morgana,Amumu,Shaco,Rell,Varus"
